,post
5535,thr shld be no sanctuary citiescounties or states it is a violation of the law to harbor illegal aliens i wld go to jail
3797,white lives matter  an autopsy via
1763, black activists call for lynching and hanging of white people and cops
4337,a bunch of obama rats that we do not want or need
4917,remove the fucking jooze  their social marxist whores instead
2606,fighting the displacement of your people is not white supremacy 
1029,europe is being flooded with africas and muslims atm by globalists supported by european antifa  you are what you hate so much
90,i was born white  i cant help it  i should just kill myself  said no one ever 
2804, what does sharia law mean  two words  they can take all are white christian woman even if they married to us and if we protest we   racist   
105,just search twitter with  white people   youd be surprised on how many antiwhite nonwhites there are  diversity
2230,the white race is generous to a fault  nonwhites take advantage of that all the time  then hate white people out of envy 
2755,what is a white hispanic 
3539,pl dear fellow indians  we all must boycott radicalised bollywood jihadi mullahs movies and their ad products
1237,do they never condone the actions jihads do based on quran i just dont get it
4668,ferguson and detroit are a reflection on the innate capacity of blacks to further and advance civilization
1650,its only evil when white people do it 
4236,the yankees are so disenchanted with their women that they are ready to turn to waifus sexbots and artificial wombs i cant honestly blame them given what i have seen we need to eradicate that degenerate culture before it spreads any further
2906,norwood to bring back white rule to atlanta  via
3198,   and by this political union between them  holding the white race at the south in complete subjection    brilliant piece  love  
339,white people who hate nazis have never considered what true nationalsocialism could actually create for their benefit 
1740,    allwhite town fights to preserve segregation in the antiwhite new south africa via   
3290,if you are a person of european  nonamerindian heritage  send us an application 
2810,rahowa  britain sees race war brewing between nonwhite invaders
2913,picture symbolizing what diversity  mass immigration  black empowerment  affirmative action is doing to white america 
5440,no they dont deserve our benifetsso food goes to those who deserve itthey should apply for citizenship first amen
2423,not just south africa look at white farmers in zimbabwe yet left ask us to pay for white priveledge
1181, rt  eyewitness tells bbc terrorist ran at people with knife shouting   this is for allah    londonbridge 
4441,yes exceptions but notice they all moved to the west still black africa remains backward compared to the west with or without them
